,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,48.26,49.46,48.13,48.91,34472000.0,47.17,48.79,46.9,48.01,43391000.0,45.96,47.71,45.71,47.54,40321000.0,46.32,46.96,45.61,46.29,39975000.0,46.37,46.9,44.86,46.61,75422500.0,0
1,44.84,45.57,44.34,45.37,26548000.0,43.33,44.45,43.2,43.99,25492500.0,44.17,44.31,42.31,43.13,40798000.0,46.24,46.3,43.34,43.92,47813000.0,45.76,47.2,45.51,47.0,24240500.0,0
2,48.3,48.4,44.52,44.64,64457500.0,48.0,49.04,47.84,48.25,21701000.0,49.3,49.39,47.63,48.12,31765000.0,49.2,49.59,48.97,49.32,23979000.0,49.0,49.63,48.47,48.7,20851000.0,0
3,66.57,66.88,65.45,66.07,18623000.0,67.55,67.57,66.57,66.61,27665000.0,66.52,67.58,66.44,67.24,32868500.0,65.88,67.28,65.74,66.97,30372500.0,66.22,66.25,65.5,65.99,12328000.0,0
4,43.33,44.45,43.2,43.99,25492500.0,44.17,44.31,42.31,43.13,40798000.0,46.24,46.3,43.34,43.92,47813000.0,45.76,47.2,45.51,47.0,24240500.0,46.6,47.15,45.75,45.8,23319500.0,0
5,63.6,65.34,62.9,65.32,39704500.0,63.92,64.7,63.22,63.44,34717000.0,62.96,64.39,61.85,63.49,43935000.0,63.26,63.3,61.96,62.66,31919500.0,62.62,63.8,62.6,62.98,25335000.0,0
6,70.13,70.56,69.67,70.43,24045000.0,69.22,70.77,68.58,69.87,32324500.0,71.0,71.27,69.04,69.22,42100500.0,69.38,70.07,68.81,69.99,36797000.0,68.79,69.84,68.4,69.02,49933500.0,0
7,52.14,52.56,51.02,51.39,28749000.0,52.5,52.96,52.03,52.39,23846500.0,51.48,52.42,51.38,51.95,33420500.0,51.54,52.0,50.82,51.58,32164000.0,49.58,51.71,49.43,51.39,51025000.0,1
8,63.26,63.3,61.96,62.66,31919500.0,62.62,63.8,62.6,62.98,25335000.0,62.6,63.76,61.99,63.0,48209000.0,64.0,64.86,62.95,63.24,63421500.0,65.51,68.17,64.52,65.54,94351500.0,0
9,49.3,49.39,47.63,48.12,31765000.0,49.2,49.59,48.97,49.32,23979000.0,49.0,49.63,48.47,48.7,20851000.0,48.49,49.12,48.07,48.96,19327000.0,49.2,49.49,48.23,48.56,23640500.0,0
10,44.4,44.64,43.52,44.17,38971500.0,45.52,45.82,44.91,45.17,20626000.0,44.84,45.57,44.34,45.37,26548000.0,43.33,44.45,43.2,43.99,25492500.0,44.17,44.31,42.31,43.13,40798000.0,0
11,50.9,51.23,50.27,50.94,26305500.0,50.86,51.67,50.17,51.12,23004000.0,51.67,51.9,50.04,50.7,25101500.0,52.14,52.56,51.02,51.39,28749000.0,52.5,52.96,52.03,52.39,23846500.0,0
12,62.6,63.76,61.99,63.0,48209000.0,64.0,64.86,62.95,63.24,63421500.0,65.51,68.17,64.52,65.54,94351500.0,59.54,66.0,59.22,65.63,150030500.0,59.67,60.99,57.84,59.94,148604500.0,0
13,70.35,72.0,69.56,71.9,38624000.0,70.58,70.63,69.22,70.0,22002000.0,70.13,70.56,69.67,70.43,24045000.0,69.22,70.77,68.58,69.87,32324500.0,71.0,71.27,69.04,69.22,42100500.0,0
14,68.03,68.2,66.0,66.61,84353000.0,70.9,72.17,70.8,70.97,30550000.0,72.0,72.24,69.91,70.44,33625500.0,70.35,72.0,69.56,71.9,38624000.0,70.58,70.63,69.22,70.0,22002000.0,0
15,46.16,47.11,45.79,47.11,24418500.0,46.0,46.75,45.85,46.36,24013500.0,45.44,45.93,45.03,45.49,20947000.0,44.5,45.96,44.17,45.92,36976500.0,45.38,45.69,43.84,44.14,28805000.0,0
16,48.44,49.74,47.75,48.43,55582000.0,46.13,48.66,45.48,48.51,59422500.0,44.91,45.8,43.67,45.74,47135500.0,48.3,48.4,44.52,44.64,64457500.0,48.0,49.04,47.84,48.25,21701000.0,0
17,44.91,45.8,43.67,45.74,47135500.0,48.3,48.4,44.52,44.64,64457500.0,48.0,49.04,47.84,48.25,21701000.0,49.3,49.39,47.63,48.12,31765000.0,49.2,49.59,48.97,49.32,23979000.0,0
