,Choice,Confidence
1114.HK,0,0.896924436
AUY,0,0.841025174
NEWR,0,0.825969696
NLY,0,0.818857491
AGNC,0,0.803573489
CLLS,1,0.802868247
HMY,0,0.800782382
BTG,0,0.798345923
QLGN,1,0.793067992
ATRS,0,0.792616963
ZGNX,1,0.790394962
QTWO,1,0.79019618
EBS,1,0.789585888
ZBRA,0,0.789343894
RIOT,1,0.787875354
CGC,1,0.785724163
APPS,1,0.785415709
MARK,1,0.784888983
NOK,0,0.784600377
PUBM,1,0.784211695
SLAB,1,0.784190357
XLNX,0,0.782726705
ALVR,1,0.782719314
CMG,1,0.782366276
POOL,0,0.779790044
ZTO,0,0.778983235
QS,1,0.778919399
SUNW,1,0.777867317
PAYC,1,0.777748942
TTEK,1,0.777290404
NBEV,0,0.775755286
0285.HK,0,0.773907423
PAYS,1,0.773753226
AMWL,1,0.770883083
ARCT,1,0.768097162
HAE,1,0.766041279
CEVA,1,0.764446914
CREE,1,0.763609231
WDAY,1,0.763547778
CLSK,1,0.763225675
ADVM,1,0.762760878
KMB,1,0.762602031
MUFG,0,0.761931241
CAG,0,0.759103
DOCU,1,0.758969426
HASI,1,0.75820148
CARA,1,0.757938087
EVFM,1,0.757543921
FTOC,1,0.757506013
GPN,1,0.756948948
1833.HK,1,0.756378353
CODX,1,0.755204082
ALNY,0,0.75513941
HLF,0,0.755116343
VIAC,1,0.754893005
SWKS,1,0.753848016
TOPS,1,0.753583908
AGRX,1,0.752461135
TREE,1,0.752436399
VC,0,0.752166271
MMYT,1,0.751915038
DISCA,1,0.751736045
BLDP,1,0.751672208
MPWR,1,0.751544416
EXAS,1,0.7507388
TMHC,1,0.75056386
APTV,0,0.74945122
ATHM,1,0.745960712
CHRS,1,0.745631397
Z,1,0.744248509
TBLT,1,0.743111551
ABMD,1,0.741796672
IRM,0,0.741682172
NVTA,1,0.741200864
SPLK,1,0.741055965
1339.HK,0,0.740954041
MKTX,1,0.740213335
TRGP,0,0.738994896
VBIV,1,0.738993049
AYTU,1,0.738248765
CUBE,0,0.737859547
IACA,1,0.737464011
SPOT,1,0.736700833
DIS,1,0.736515939
ACAD,1,0.735179484
SPWR,1,0.733768284
EGHT,1,0.733166635
SOLO,0,0.732639134
BNGO,1,0.732289076
EH,1,0.731597185
